location,size,total_sqft,bath,price,bhk,price_per_sqft
Kannamangala,3 BHK,1536.0,3.0,89.0,3,5794
Billekahalli,2 BHK,1112.0,2.0,62.0,2,5575
Marathahalli,3 BHK,1535.0,3.0,72.5,3,4723
7th Phase JP Nagar,3 BHK,1250.0,3.0,65.0,3,5200
Kalena Agrahara,2 BHK,1187.0,2.0,52.0,2,4380
9th Phase JP Nagar,2 BHK,1164.0,2.0,56.0,2,4810
Electronic City Phase II,3 BHK,1395.0,2.0,62.78,3,4500
Arekere,3 BHK,2072.0,3.0,108.0,3,5212
Bannerghatta Road,3 BHK,1550.0,3.0,82.0,3,5290
other,2 BHK,1315.0,2.0,90.0,2,6844
other,2 BHK,1210.0,2.0,72.0,2,5950
Bisuvanahalli,3 BHK,1075.0,2.0,47.0,3,4372
Kaggadasapura,3 BHK,1470.0,2.0,75.0,3,5102
other,4 Bedroom,30000.0,4.0,2100.0,4,7000
Raja Rajeshwari Nagar,2 BHK,1306.0,2.0,55.91,2,4281
other,3 BHK,1445.0,3.0,64.0,3,4429
Sarjapur  Road,3 BHK,1220.0,3.0,58.0,3,4754
Sarjapur,4 Bedroom,3190.0,3.0,160.0,4,5015
Budigere,3 BHK,1920.0,2.0,88.0,3,4583
Dodda Nekkundi,2 BHK,1390.0,2.0,60.0,2,4316
Hoodi,2 BHK,1196.0,2.0,71.74,2,5998
Bannerghatta Road,3 BHK,1550.0,2.0,75.0,3,4838
Thigalarapalya,2 BHK,1418.0,2.0,101.0,2,7122
Varthur Road,3 BHK,1655.0,3.0,115.0,3,6948
other,2 BHK,1170.0,2.0,68.0,2,5811
Singasandra,3 BHK,1306.0,2.0,58.0,3,4441
Thanisandra,3 BHK,1917.0,3.0,122.0,3,6364
Marathahalli,2 BHK,1071.0,2.0,52.25,2,4878
5th Phase JP Nagar,3 BHK,1400.0,2.0,88.0,3,6285
Tumkur Road,2 BHK,1246.0,2.0,82.0,2,6581
Kodigehaali,2 BHK,1200.0,2.0,60.0,2,5000
Kaval Byrasandra,2 BHK,945.0,2.0,50.0,2,5291
Hormavu,2 BHK,1175.0,2.0,52.0,2,4425
Whitefield,2 BHK,920.0,2.0,63.0,2,6847
other,2 Bedroom,1600.0,2.0,110.0,2,6875
Ardendale,3 BHK,1750.0,3.0,100.0,3,5714
Uttarahalli,3 BHK,1425.0,2.0,64.0,3,4491
Kaggadasapura,2 BHK,1050.0,2.0,48.0,2,4571
other,3 BHK,1370.0,2.0,75.0,3,5474
Electronic City,3 BHK,1374.0,2.0,72.0,3,5240
Harlur,3 BHK,1754.0,3.0,124.0,3,7069
Kothanur,3 BHK,1847.0,3.0,110.0,3,5955
other,3 Bedroom,600.0,2.0,30.0,3,5000
Thanisandra,1 BHK,693.0,1.0,34.3,1,4949
KR Puram,2 BHK,1021.0,2.0,48.0,2,4701
Horamavu Agara,3 BHK,1756.0,3.0,92.0,3,5239
Bharathi Nagar,3 BHK,1739.0,3.0,105.0,3,6037
Varthur,2 BHK,1280.0,2.0,65.0,2,5078
Marathahalli,2 BHK,1215.0,2.0,58.86,2,4844
Munnekollal,2 BHK,950.0,2.0,46.5,2,4894
Kengeri,3 BHK,1082.0,2.0,49.0,3,4528
Devanahalli,2 BHK,1080.0,2.0,53.35,2,4939
Arekere,2 BHK,1100.0,2.0,55.0,2,5000
Ardendale,4 Bedroom,3200.0,4.0,205.0,4,6406
Sarjapur  Road,2 BHK,1311.0,2.0,78.0,2,5949
Whitefield,2 BHK,1170.0,2.0,71.0,2,6068
Hebbal,3 BHK,1255.0,2.0,77.68,3,6189
Ambedkar Nagar,3 BHK,1936.0,4.0,126.0,3,6508
Ramagondanahalli,3 BHK,2257.0,4.0,157.0,3,6956
Nagarbhavi,2 BHK,1055.0,2.0,55.0,2,5213
other,3 BHK,1700.0,3.0,97.0,3,5705
Raja Rajeshwari Nagar,3 BHK,1575.0,2.0,78.0,3,4952
Rajiv Nagar,2 BHK,1263.0,2.0,93.32,2,7388
KR Puram,3 BHK,1559.0,3.0,69.315,3,4446
Kengeri Satellite Town,2 BHK,1043.0,2.0,65.0,2,6232
Hennur,2 BHK,1255.0,2.0,53.5,2,4262
JP Nagar,2 BHK,1352.5,2.0,93.865,2,6940
Sarjapur  Road,3 BHK,1220.0,3.0,56.0,3,4590
other,2 BHK,1100.0,2.0,75.0,2,6818
8th Phase JP Nagar,3 BHK,1455.0,3.0,73.31,3,5038
Harlur,2 BHK,1152.0,2.0,69.0,2,5989
Bellandur,2 BHK,1299.0,2.0,82.0,2,6312
Sarjapur  Road,3 BHK,1157.0,2.0,75.0,3,6482
Rachenahalli,2 BHK,1050.0,2.0,52.5,2,5000
Vittasandra,2 BHK,1246.0,2.0,67.4,2,5409
other,3 BHK,1929.0,3.0,115.0,3,5961
Hennur,2 BHK,1285.0,2.0,60.0,2,4669
Margondanahalli,3 Bedroom,1200.0,2.0,65.0,3,5416
other,4 BHK,3161.0,4.0,214.0,4,6770
Malleshwaram,2 BHK,1124.0,3.0,80.0,2,7117
Balagere,2 BHK,1012.0,2.0,54.59,2,5394
Giri Nagar,7 BHK,4500.0,5.0,250.0,7,5555
8th Phase JP Nagar,2 BHK,871.0,2.0,55.0,2,6314
Rachenahalli,3 BHK,1550.0,3.0,73.5,3,4741
Akshaya Nagar,3 BHK,1410.0,2.0,80.0,3,5673
Chikka Tirupathi,4 Bedroom,3500.0,5.0,150.0,4,4285
Whitefield,2 BHK,1118.0,2.0,75.0,2,6708
Thanisandra,2 BHK,1098.0,2.0,68.0,2,6193
Sarjapur  Road,2 BHK,1145.0,2.0,75.0,2,6550
Marathahalli,2 BHK,1102.0,2.0,53.67,2,4870
Hebbal,2 BHK,823.0,2.0,50.63,2,6151
Budigere,3 BHK,1991.0,4.0,100.0,3,5022
TC Palaya,3 BHK,1100.0,3.0,50.0,3,4545
Gubbalala,3 BHK,1745.0,3.0,115.0,3,6590
other,2 BHK,1100.0,2.0,70.0,2,6363
Sahakara Nagar,2 BHK,1150.0,2.0,54.0,2,4695
Kanakpura Road,3 BHK,1843.0,3.0,95.84,3,5200
Hulimavu,2 BHK,1375.0,2.0,80.0,2,5818
Thanisandra,1 BHK,760.0,1.0,50.3,1,6618
Kaggadasapura,2 BHK,1180.0,2.0,65.0,2,5508
Jigani,2 BHK,918.0,2.0,45.0,2,4901
Margondanahalli,2 Bedroom,1200.0,1.0,53.0,2,4416
HSR Layout,2 BHK,1372.0,2.0,61.0,2,4446
Ardendale,3 BHK,1728.0,3.0,95.0,3,5497
BTM 2nd Stage,2 BHK,1200.0,2.0,80.0,2,6666
6th Phase JP Nagar,2 BHK,1280.0,2.0,56.0,2,4375
Rachenahalli,1 RK,440.0,1.0,28.0,1,6363
Kanakpura Road,3 Bedroom,1500.0,3.0,97.0,3,6466
Whitefield,3 BHK,1800.0,3.0,110.0,3,6111
Mysore Road,3 BHK,1525.0,3.0,96.0,3,6295
Old Madras Road,2 BHK,1225.0,2.0,53.55,2,4371
Bannerghatta Road,3 BHK,1650.0,3.0,122.0,3,7393
other,4 Bedroom,4200.0,4.0,255.0,4,6071
other,2 Bedroom,1200.0,2.0,55.0,2,4583
Whitefield,3 BHK,1562.0,3.0,103.0,3,6594
Kasavanhalli,3 BHK,1555.0,3.0,82.5,3,5305
KR Puram,2 Bedroom,1550.0,2.0,71.0,2,4580
Whitefield,2 BHK,1190.0,2.0,67.0,2,5630
Chikkalasandra,2 BHK,1070.0,2.0,50.0,2,4672
Yelahanka,3 BHK,1610.0,3.0,115.0,3,7142
other,1 BHK,700.0,1.0,41.0,1,5857
Hebbal,3 BHK,1069.0,3.0,65.4,3,6117
Marathahalli,3 BHK,1900.0,3.0,123.0,3,6473
Old Airport Road,2 BHK,1655.0,2.0,97.65,2,5900
Sarjapur  Road,3 BHK,1300.0,2.0,70.0,3,5384
other,2 BHK,1400.0,2.0,67.0,2,4785
other,2 BHK,1200.0,2.0,53.0,2,4416
Bannerghatta Road,2 BHK,912.0,2.0,55.0,2,6030
Whitefield,2 BHK,1102.0,2.0,48.0,2,4355
Jigani,2 BHK,918.0,2.0,63.2,2,6884
Begur Road,3 BHK,1500.0,2.0,70.0,3,4666
Kasavanhalli,3 BHK,1476.0,3.0,89.0,3,6029
Mysore Road,2 BHK,1200.0,2.0,65.0,2,5416
Vijayanagar,1 BHK,606.0,1.0,34.78,1,5739
other,2 BHK,1100.0,2.0,61.0,2,5545
Garudachar Palya,3 BHK,1295.0,2.0,59.5,3,4594
Neeladri Nagar,1 BHK,527.0,1.0,26.0,1,4933
OMBR Layout,2 BHK,1300.0,2.0,80.0,2,6153
Koramangala,2 BHK,1140.0,2.0,75.2,2,6596
Whitefield,3 BHK,2321.0,4.0,128.0,3,5514
Sarjapur  Road,2 BHK,1390.0,2.0,62.0,2,4460
Sarjapur  Road,3 BHK,1725.0,3.0,90.0,3,5217
Hennur Road,3 BHK,1186.0,2.0,63.0,3,5311
Kanakpura Road,2 BHK,1230.0,2.0,85.0,2,6910
Yeshwanthpur,3 BHK,1313.0,3.0,96.0,3,7311
TC Palaya,2 Bedroom,900.0,2.0,55.0,2,6111
Ambalipura,2 BHK,1250.0,2.0,66.25,2,5300
Old Madras Road,2 BHK,1100.0,2.0,70.0,2,6363
Electronics City Phase 1,2 BHK,1015.0,2.0,56.0,2,5517
other,3 BHK,1360.0,2.0,65.0,3,4779
other,2 BHK,1165.0,2.0,75.0,2,6437
BTM 2nd Stage,2 BHK,1274.0,2.0,70.0,2,5494
Thubarahalli,3 BHK,1626.0,2.0,120.0,3,7380
other,3 Bedroom,1272.0,4.0,75.0,3,5896
other,2 BHK,965.0,2.0,45.0,2,4663
other,3 BHK,1000.0,2.0,65.0,3,6500
Tindlu,7 Bedroom,7500.0,7.0,400.0,7,5333
5th Phase JP Nagar,3 BHK,1700.0,2.0,100.0,3,5882
Haralur Road,3 BHK,1850.0,3.0,110.0,3,5945
Sahakara Nagar,2 BHK,1270.0,2.0,69.85,2,5499
Mahadevpura,1 BHK,730.0,1.0,35.0,1,4794
Thanisandra,2 BHK,1111.0,2.0,50.0,2,4500
Sarjapur,4 Bedroom,2540.0,4.0,115.0,4,4527
Kanakpura Road,2 BHK,700.0,1.0,35.0,2,5000
other,3 BHK,1306.0,2.0,58.0,3,4441
Dodda Nekkundi,3 BHK,1804.0,3.0,121.0,3,6707
Thanisandra,2 BHK,1185.5,2.0,58.68,2,4949
Bellandur,2 BHK,900.0,2.0,56.0,2,6222
Binny Pete,2 BHK,1350.0,2.0,91.0,2,6740
Kaggalipura,1 BHK,700.0,1.0,36.0,1,5142
Hennur Road,3 BHK,1680.0,3.0,99.27,3,5908
LB Shastri Nagar,2 BHK,1043.0,2.0,55.0,2,5273
Hebbal,2 BHK,1040.0,2.0,46.0,2,4423
Tindlu,3 BHK,1357.0,2.0,65.0,3,4789
other,7 Bedroom,1600.0,7.0,104.0,7,6500
other,9 Bedroom,1500.0,6.0,80.0,9,5333
Basavangudi,4 Bedroom,2500.0,4.0,150.0,4,6000
Sultan Palaya,3 BHK,1700.0,3.0,120.0,3,7058
Yeshwanthpur,2 BHK,1400.0,2.0,100.0,2,7142
Dodda Nekkundi,2 BHK,1080.0,2.0,50.0,2,4629
Haralur Road,2 BHK,1225.0,2.0,67.38,2,5500
Whitefield,2 BHK,1320.0,2.0,95.0,2,7196
other,2 BHK,1110.0,2.0,51.0,2,4594
Electronic City,2 BHK,1128.0,2.0,65.35,2,5793
Jakkur,2 BHK,1452.19,2.0,100.0,2,6886
Banashankari,3 BHK,2600.0,4.0,135.0,3,5192
Sanjay nagar,2 BHK,630.0,1.0,35.0,2,5555
other,3 BHK,1690.0,3.0,100.0,3,5917
Whitefield,2 BHK,735.0,2.0,35.0,2,4761
Banaswadi,2 BHK,1365.0,2.0,73.0,2,5347
Hebbal,2 BHK,1420.0,2.0,99.39,2,6999
Somasundara Palya,3 BHK,1570.0,3.0,68.0,3,4331
7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984
Thigalarapalya,2 BHK,1418.0,2.0,104.0,2,7334
Ulsoor,3 BHK,1340.0,3.0,90.0,3,6716
Yelahanka New Town,3 BHK,1610.0,3.0,92.0,3,5714
other,2 BHK,799.0,2.0,38.0,2,4755
Ardendale,2 BHK,1100.0,2.0,48.0,2,4363
Bellandur,2 BHK,1350.0,2.0,79.0,2,5851
other,3 BHK,1355.0,3.0,61.0,3,4501
Electronic City,2 BHK,1128.0,2.0,65.0,2,5762
other,2 Bedroom,1350.0,2.0,90.0,2,6666
Kasavanhalli,3 BHK,1493.0,3.0,82.0,3,5492
other,3 BHK,1460.0,3.0,88.0,3,6027
Kanakpura Road,2 BHK,1366.0,3.0,76.85,2,5625
other,3 BHK,1685.0,3.0,95.0,3,5637
Whitefield,3 Bedroom,3010.0,3.0,200.0,3,6644
Whitefield,2 BHK,1346.0,2.0,96.17,2,7144
Electronic City,2 BHK,755.0,1.0,34.0,2,4503
other,1 Bedroom,800.0,1.0,52.0,1,6500
Vijayanagar,2 BHK,1352.0,2.0,68.0,2,5029
Thanisandra,3 BHK,2002.0,3.0,112.0,3,5594
other,4 Bedroom,4000.0,5.0,280.0,4,7000
Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,51.15,2,4276
Electronics City Phase 1,3 BHK,1595.0,3.0,75.0,3,4702
Banashankari,2 BHK,1260.0,2.0,75.0,2,5952
Hebbal,2 BHK,1100.0,2.0,47.0,2,4272
ISRO Layout,2 BHK,1180.0,2.0,52.0,2,4406
Akshaya Nagar,3 BHK,1662.0,3.0,85.0,3,5114
Hennur,2 BHK,1285.0,2.0,60.0,2,4669
Akshaya Nagar,4 Bedroom,1080.0,4.0,75.0,4,6944
Ambedkar Nagar,3 BHK,1862.0,3.0,119.0,3,6390
Thanisandra,3 BHK,1634.0,3.0,78.0,3,4773
other,2 BHK,1100.0,2.0,53.0,2,4818
Nagavarapalya,2 BHK,1392.0,2.0,99.0,2,7112
Jakkur,3 BHK,1798.0,3.0,120.0,3,6674
Babusapalaya,3 BHK,1675.0,3.0,75.0,3,4477
other,5 BHK,2000.0,4.0,103.0,5,5150
Hebbal,3 BHK,1700.0,3.0,124.0,3,7294
Hulimavu,2 BHK,1248.0,2.0,69.0,2,5528
other,2 BHK,1147.0,2.0,54.0,2,4707
Kanakpura Road,1 BHK,525.0,1.0,25.0,1,4761
Kaggadasapura,2 BHK,1100.0,2.0,58.0,2,5272
Kanakapura,3 BHK,1476.0,3.0,75.0,3,5081
Ambalipura,2 BHK,1332.0,2.0,79.0,2,5930
NGR Layout,2 BHK,1105.0,2.0,49.73,2,4500
Kambipura,2 BHK,883.0,2.0,45.0,2,5096
Pai Layout,3 BHK,1400.0,2.0,67.0,3,4785
Hegde Nagar,3 BHK,1703.0,3.0,113.0,3,6635
NRI Layout,5 BHK,2500.0,5.0,130.0,5,5200
Varthur,3 BHK,1250.0,3.0,71.0,3,5680
Jigani,2 BHK,933.0,2.0,43.0,2,4608
other,1 Bedroom,461.82,1.0,31.7,1,6864
Brookefield,2 BHK,1262.0,2.0,75.0,2,5942
Yelahanka,2 BHK,915.0,2.0,48.0,2,5245
Panathur,3 BHK,1370.0,2.0,61.5,3,4489
Malleshpalya,2 BHK,1210.0,2.0,55.0,2,4545
other,3 Bedroom,1500.0,2.0,85.0,3,5666
other,2 BHK,1065.0,2.0,50.0,2,4694
Ramamurthy Nagar,3 BHK,1515.0,3.0,65.0,3,4290
Sarjapura - Attibele Road,4 Bedroom,1800.0,4.0,110.0,4,6111
Vijayanagar,2 BHK,989.0,2.0,60.0,2,6066
Jakkur,2 BHK,1300.0,2.0,85.0,2,6538
Marathahalli,2 BHK,1045.0,2.0,60.0,2,5741
other,2 BHK,1260.0,2.0,75.0,2,5952
Hennur Road,2 BHK,1385.0,2.0,83.09,2,5999
Lakshminarayana Pura,2 BHK,1149.0,2.0,75.0,2,6527
other,10 BHK,12000.0,12.0,525.0,10,4375
Chandapura,2 BHK,630.0,1.0,27.0,2,4285
Sarjapur  Road,2 BHK,1084.0,2.0,55.0,2,5073
Hennur Road,3 BHK,1186.0,2.0,56.0,3,4721
Haralur Road,4 BHK,3400.0,5.0,240.0,4,7058
Hosa Road,3 BHK,1541.0,3.0,69.84,3,4532
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,70.0,2,5405
JP Nagar,2 BHK,1200.0,2.0,62.0,2,5166
Gunjur,4 Bedroom,2000.0,3.0,95.0,4,4750
Sarjapur  Road,3 BHK,1220.0,3.0,62.0,3,5081
other,3 Bedroom,1950.0,3.0,130.0,3,6666
Somasundara Palya,2 BHK,1178.0,2.0,73.0,2,6196
Dasanapura,3 BHK,1286.0,3.0,61.44,3,4777
Jigani,2 BHK,918.0,2.0,55.0,2,5991
Electronic City,3 BHK,1563.0,3.0,91.84,3,5875
other,2 BHK,1326.0,2.0,62.17,2,4688
Somasundara Palya,2 BHK,1260.0,2.0,60.0,2,4761
Hoodi,3 BHK,1553.0,3.0,83.09,3,5350
Hebbal,3 BHK,1550.0,2.0,75.0,3,4838
Murugeshpalya,3 BHK,1550.0,3.0,74.0,3,4774
Electronics City Phase 1,3 BHK,1515.0,2.0,80.91,3,5340
Hosa Road,3 BHK,1332.0,2.0,86.12,3,6465
Hegde Nagar,3 BHK,1570.0,3.0,105.0,3,6687
Seegehalli,3 Bedroom,1200.0,2.0,62.0,3,5166
Sarjapur  Road,3 BHK,1750.0,3.0,110.0,3,6285
Hebbal,2 BHK,1053.0,2.0,48.0,2,4558
Kanakpura Road,3 BHK,1100.0,3.0,53.0,3,4818
Bommasandra,3 BHK,1447.0,3.0,80.0,3,5528
Narayanapura,2 BHK,1308.0,2.0,92.66,2,7084
Green Glen Layout,4 BHK,3250.0,4.0,230.0,4,7076
Gunjur,2 BHK,1140.0,2.0,49.11,2,4307
Uttarahalli,3 BHK,1250.0,2.0,55.0,3,4400
Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2,6320
Garudachar Palya,3 BHK,1320.0,2.0,60.6,3,4590
Akshaya Nagar,3 BHK,1662.0,3.0,85.5,3,5144
Garudachar Palya,3 BHK,1295.0,2.0,59.5,3,4594
Battarahalli,3 BHK,1777.0,3.0,100.0,3,5627
Kadugodi,3 BHK,1900.0,3.0,108.0,3,5684
Raja Rajeshwari Nagar,1 BHK,648.0,1.0,31.75,1,4899
Vittasandra,2 BHK,1259.0,2.0,67.4,2,5353
8th Phase JP Nagar,3 BHK,1800.0,3.0,80.0,3,4444
Bannerghatta,3 BHK,1665.0,3.0,110.0,3,6606
other,2 BHK,1234.0,2.0,61.0,2,4943
Mysore Road,3 BHK,1340.0,2.0,64.31,3,4799
Electronics City Phase 1,2 BHK,995.0,2.0,46.0,2,4623
Old Airport Road,2 BHK,1075.0,2.0,60.0,2,5581
Electronic City,2 BHK,1025.0,2.0,54.5,2,5317
Thanisandra,3 BHK,2000.0,3.0,99.0,3,4950
Whitefield,4 BHK,2500.0,4.0,155.0,4,6200
Mallasandra,2 BHK,1325.0,2.0,70.0,2,5283
Kadugodi,2 BHK,1314.0,2.0,68.2,2,5190
Kanakpura Road,3 BHK,2265.0,3.0,136.0,3,6004
other,3 BHK,1200.0,3.0,66.0,3,5500
KR Puram,2 BHK,1192.5,2.0,51.22,2,4295
Hebbal,2 BHK,1420.0,2.0,99.39,2,6999
Sarjapur  Road,3 BHK,1888.0,4.0,95.0,3,5031
JP Nagar,2 BHK,1300.0,2.0,90.87,2,6990
Harlur,2 BHK,1290.0,2.0,87.0,2,6744
Whitefield,1 BHK,905.0,1.0,55.0,1,6077
other,2 BHK,1069.0,2.0,55.0,2,5144
Sarjapur  Road,3 BHK,1300.0,3.0,60.0,3,4615
Ambedkar Nagar,3 BHK,2150.0,4.0,125.0,3,5813
Marathahalli,3 BHK,1305.0,2.0,69.0,3,5287
Kanakpura Road,2 BHK,1252.0,2.0,56.32,2,4498
Electronic City Phase II,2 BHK,545.0,1.0,35.0,2,6422
Subramanyapura,2 BHK,1313.0,2.0,66.5,2,5064
other,3 BHK,1693.0,3.0,108.0,3,6379
Subramanyapura,3 BHK,1255.0,2.0,79.0,3,6294
other,2 BHK,900.0,2.0,45.0,2,5000
Yelahanka New Town,3 BHK,1700.0,3.0,90.0,3,5294
Uttarahalli,3 BHK,1700.0,3.0,88.0,3,5176
Harlur,3 BHK,1749.0,3.0,115.0,3,6575
Dasanapura,2 Bedroom,1500.0,3.0,65.0,2,4333
Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2,4687
Ramagondanahalli,3 BHK,1610.0,2.0,115.0,3,7142
Electronic City,2 BHK,1070.0,2.0,46.0,2,4299
TC Palaya,2 Bedroom,1200.0,2.0,66.0,2,5500
9th Phase JP Nagar,2 BHK,1127.0,2.0,50.0,2,4436
other,2 BHK,1364.0,2.0,70.0,2,5131
Whitefield,4 BHK,2268.0,3.0,146.0,4,6437
other,3 BHK,1150.0,2.0,77.5,3,6739
Kengeri,2 BHK,750.0,2.0,36.0,2,4800
other,2 BHK,1156.0,2.0,49.5,2,4282
Pattandur Agrahara,2 BHK,1247.0,2.0,59.8,2,4795
other,2 BHK,1058.0,2.0,60.0,2,5671
Kaggalipura,2 BHK,950.0,2.0,48.0,2,5052
Vijayanagar,3 BHK,1520.0,2.0,103.0,3,6776
Marathahalli,2 BHK,1215.0,2.0,58.86,2,4844
Thanisandra,2 BHK,1050.0,2.0,46.0,2,4380
Laggere,5 Bedroom,2800.0,5.0,125.0,5,4464
other,3 BHK,1500.0,2.0,65.0,3,4333
other,2 BHK,1400.0,2.0,65.0,2,4642
8th Phase JP Nagar,4 Bedroom,2700.0,4.0,130.0,4,4814
Sarjapur  Road,3 Bedroom,1200.0,3.0,70.0,3,5833
Electronics City Phase 1,3 BHK,1555.0,2.0,82.0,3,5273
Whitefield,2 BHK,1150.0,2.0,55.0,2,4782
other,2 BHK,1166.0,2.0,53.0,2,4545
Electronic City,3 BHK,1350.0,3.0,58.0,3,4296
other,2 BHK,900.0,2.0,46.0,2,5111
other,3 BHK,1190.0,3.0,55.0,3,4621
Kodichikkanahalli,3 BHK,1495.0,2.0,75.0,3,5016
Banashankari Stage III,3 BHK,1350.0,2.0,68.0,3,5037
Green Glen Layout,2 BHK,940.0,2.0,56.8,2,6042
Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,55.0,2,5000
Kaikondrahalli,2 BHK,1300.0,2.0,61.0,2,4692
Yelahanka,3 BHK,1517.0,3.0,76.3,3,5029
Horamavu Banaswadi,6 Bedroom,3800.0,8.0,200.0,6,5263
Jalahalli,3 BHK,1615.0,3.0,89.75,3,5557
other,3 BHK,1500.0,3.0,65.0,3,4333
Mysore Road,3 BHK,1082.0,3.0,50.5,3,4667
Marathahalli,2 BHK,1365.0,2.0,73.0,2,5347
CV Raman Nagar,2 BHK,1392.0,2.0,98.0,2,7040
Hennur Road,3 BHK,1586.0,3.0,93.94,3,5923
Hennur,2 BHK,1100.0,2.0,60.0,2,5454
Hennur Road,3 BHK,1975.0,3.0,123.0,3,6227
Gubbalala,3 BHK,1745.0,3.0,110.0,3,6303
Nagarbhavi,2 BHK,1223.0,2.0,60.0,2,4905
Ananth Nagar,3 BHK,1200.0,2.0,65.0,3,5416
Binny Pete,1 BHK,665.0,1.0,46.08,1,6929
Bharathi Nagar,2 BHK,1351.0,2.0,70.0,2,5181
Hebbal,3 BHK,1355.0,3.0,83.87,3,6189
Thanisandra,3 BHK,1588.0,3.0,75.55,3,4757
Amruthahalli,2 BHK,900.0,2.0,60.0,2,6666
Panathur,3 BHK,1370.0,2.0,75.0,3,5474
Whitefield,3 Bedroom,1500.0,3.0,71.8,3,4786
Kanakpura Road,3 BHK,1100.0,3.0,53.0,3,4818
Balagere,2 BHK,1020.07,2.0,68.38,2,6703
other,3 BHK,1460.0,2.0,73.0,3,5000
Garudachar Palya,2 BHK,1150.0,2.0,52.8,2,4591
Sarjapur  Road,5 BHK,5965.0,5.0,385.0,5,6454
Yelahanka,4 BHK,2912.5,6.0,125.5,4,4309
Kanakapura,2 BHK,1295.0,2.0,64.0,2,4942
Haralur Road,2 BHK,1230.0,2.0,78.0,2,6341
other,3 BHK,1080.0,2.0,75.0,3,6944
Kaggalipura,2 BHK,1000.0,2.0,60.0,2,6000
Whitefield,1 BHK,630.5,1.0,32.79,1,5200
Rayasandra,3 BHK,1708.0,3.0,75.0,3,4391
Thanisandra,3 BHK,1697.0,3.0,115.0,3,6776
Whitefield,4 BHK,3537.0,5.0,210.0,4,5937
Hosa Road,1 BHK,615.0,1.0,28.29,1,4600
Banashankari,3 BHK,1350.0,2.0,83.0,3,6148
Gottigere,3 BHK,1460.0,2.0,65.0,3,4452
Babusapalaya,2 BHK,1084.0,2.0,58.0,2,5350
other,3 BHK,2400.0,2.0,150.0,3,6250
Hosur Road,1 BHK,460.0,1.0,21.0,1,4565
Whitefield,2 BHK,1285.0,2.0,55.9,2,4350
Sarjapur,3 Bedroom,1200.0,3.0,78.0,3,6500
Whitefield,3 BHK,1697.0,3.0,115.0,3,6776
AECS Layout,2 BHK,1199.0,2.0,65.0,2,5421
Mysore Road,3 BHK,1340.0,2.0,64.31,3,4799
Marathahalli,4 BHK,3800.0,4.0,205.0,4,5394
other,2 BHK,1125.0,2.0,75.0,2,6666
Anandapura,2 Bedroom,1200.0,2.0,67.0,2,5583
Nagarbhavi,2 BHK,956.0,2.0,49.0,2,5125
other,3 BHK,1596.0,3.0,95.0,3,5952
Kanakpura Road,2 BHK,1296.0,2.0,89.06,2,6871
Electronic City Phase II,2 BHK,1219.0,2.0,61.25,2,5024
Bannerghatta Road,2 BHK,1218.0,2.0,73.0,2,5993
Yeshwanthpur,3 BHK,2559.0,3.0,141.0,3,5509
2nd Phase Judicial Layout,1 BHK,525.0,1.0,26.0,1,4952
Ramagondanahalli,2 BHK,920.0,2.0,65.0,2,7065
Lingadheeranahalli,3 BHK,1530.0,2.0,90.0,3,5882
other,3 BHK,1372.0,2.0,90.0,3,6559
Nehru Nagar,4 BHK,2363.0,5.0,120.0,4,5078
Marathahalli,4 BHK,3895.0,4.0,220.0,4,5648
Jakkur,3 BHK,1950.0,3.0,131.0,3,6717
other,2 BHK,885.0,2.0,40.0,2,4519
Yelahanka,2 BHK,600.0,2.0,27.0,2,4500
Kanakpura Road,2 BHK,1339.0,2.0,62.0,2,4630
Yeshwanthpur,3 BHK,1430.0,3.0,72.0,3,5034
other,4 BHK,1650.0,4.0,99.0,4,6000
Bellandur,2 BHK,1286.0,2.0,57.0,2,4432
other,2 BHK,925.0,2.0,63.0,2,6810
Haralur Road,2 BHK,1000.0,2.0,44.0,2,4400
Yeshwanthpur,1 BHK,673.0,1.0,36.85,1,5475
Anandapura,2 Bedroom,1200.0,2.0,58.0,2,4833
other,2 Bedroom,1200.0,2.0,79.0,2,6583
Sector 2 HSR Layout,2 BHK,1143.0,2.0,65.0,2,5686
Marathahalli,3 BHK,1785.0,3.0,94.0,3,5266
Kothanur,3 BHK,1460.0,3.0,71.0,3,4863
Kasturi Nagar,3 BHK,1500.0,2.0,80.0,3,5333
other,3 BHK,1570.0,3.0,115.0,3,7324
Mallasandra,3 BHK,1665.0,3.0,86.91,3,5219
Ramamurthy Nagar,2 Bedroom,1100.0,2.0,68.0,2,6181
Kathriguppe,3 BHK,1350.0,2.0,87.01,3,6445
Kasavanhalli,3 BHK,1719.0,3.0,116.0,3,6748
Budigere,1 BHK,664.0,1.0,35.0,1,5271
Sonnenahalli,2 BHK,1011.0,2.0,50.53,2,4998
other,6 Bedroom,2400.0,6.0,130.0,6,5416
other,3 BHK,1680.0,3.0,85.0,3,5059
Yeshwanthpur,2 BHK,717.0,2.0,49.475,2,6900
Somasundara Palya,2 BHK,1174.0,2.0,74.0,2,6303
